TABLE_NAME	COLUMN_NAME	COLUMN_TYPE	IS_NULLABLE	COLUMN_KEY
tipo_actividad	id_tipo_actividad	int	NO	PRI
tipo_actividad	nombre	varchar(50)	NO	UNI
tipo_actividad	descripcion	text	YES	
tipo_cuidador	id_tipo_cuidador	int	NO	PRI
tipo_cuidador	nombre	varchar(80)	NO	UNI
tipo_cuidador	descripcion	text	YES	
tratamiento	id	int	NO	PRI
tratamiento	id_adulto	int	NO	MUL
tratamiento	id_medicamento	int	NO	MUL
tratamiento	id_cuidador	int	YES	MUL
tratamiento	dosis	varchar(100)	NO	
tratamiento	frecuencia	varchar(100)	NO	
tratamiento	fecha_inicio	date	YES	
tratamiento	fecha_fin	date	YES	
tratamiento	activo	tinyint(1)	NO	
usuarios	id	int	NO	PRI
usuarios	nombre	varchar(150)	NO	
usuarios	correo	varchar(254)	NO	UNI
usuarios	password_hash	varchar(255)	NO	
usuarios	rol	enum('Administrador','Adulto Mayor','Cuidador','Familiar')	NO	MUL
usuarios	genero	varchar(30)	YES	
usuarios	telefono	varchar(20)	YES	
usuarios	ubicacion	varchar(200)	YES	
usuarios	foto_perfil	varchar(500)	YES	
usuarios	fecha_registro	datetime	NO	
vw_adherencia_medicacion	id_adulto	int	NO	
vw_adherencia_medicacion	nombre_adulto	varchar(150)	NO	
vw_adherencia_medicacion	medicamento	varchar(150)	NO	
vw_adherencia_medicacion	id_tratamiento	int	NO	
vw_adherencia_medicacion	tomas_totales	bigint	NO	
vw_adherencia_medicacion	tomas_tomadas	decimal(23,0)	YES	
vw_adherencia_medicacion	tomas_omitidas	decimal(23,0)	YES	
vw_adherencia_medicacion	tomas_atrasadas	decimal(23,0)	YES	
vw_adherencia_medicacion	tomas_programadas	decimal(23,0)	YES	
vw_adherencia_medicacion	porcentaje_adherencia	decimal(29,2)	NO	
vw_progreso	id_usuario	int	NO	
vw_progreso	nombre_usuario	varchar(150)	NO	
vw_progreso	puntos	decimal(32,0)	NO	
vw_progreso	actividades_completadas	bigint	NO	
vw_progreso	cognitivas_completadas	decimal(23,0)	YES	
vw_progreso	fisicas_completadas	decimal(23,0)	YES	
vw_progreso	ultima_actividad	datetime	YES	
