TABLE_NAME	COLUMN_NAME	COLUMN_TYPE	IS_NULLABLE	COLUMN_DEFAULT	COLUMN_KEY	EXTRA
registro_actividad	desempeno	varchar(50)	YES	NULL		
registro_actividad	puntos	int	NO	0		
registro_actividad	observaciones	text	YES	NULL		
registro_sueno	id	int	NO	NULL	PRI	auto_increment
registro_sueno	id_adulto	int	NO	NULL	MUL	
registro_sueno	fecha	date	NO	NULL		
registro_sueno	hora_inicio	time	YES	NULL		
registro_sueno	hora_fin	time	YES	NULL		
registro_sueno	duracion_minutos	int	YES	NULL		
registro_sueno	calidad	varchar(50)	YES	NULL		
registro_sueno	observaciones	text	YES	NULL		
registro_toma	id	int	NO	NULL	PRI	auto_increment
registro_toma	id_tratamiento	int	NO	NULL	MUL	
registro_toma	fecha_hora	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
registro_toma	hora_programada	time	YES	NULL		
registro_toma	hora_real	datetime	YES	NULL		
registro_toma	observaciones	varchar(255)	YES	NULL		
registro_toma	id_estado	int	NO	NULL	MUL	
relaciones_familiar	id	int	NO	NULL	PRI	auto_increment
relaciones_familiar	id_familiar	int	NO	NULL	MUL	
relaciones_familiar	id_adulto	int	NO	NULL	MUL	
relaciones_familiar	tipo_relacion	varchar(80)	YES	NULL		
relaciones_familiar	autorizado	tinyint(1)	NO	1		
relaciones_familiar	fecha_vinculo	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
sesiones_uso	id	bigint	NO	NULL	PRI	auto_increment
sesiones_uso	id_usuario	int	NO	NULL	MUL	
sesiones_uso	inicio	datetime	NO	NULL		
sesiones_uso	fin	datetime	NO	NULL		
sesiones_uso	duracion_segundos	int unsigned	NO	0		
tiempos_actividad	id	bigint	NO	NULL	PRI	auto_increment
tiempos_actividad	id_usuario	int	NO	NULL	MUL	
tiempos_actividad	titulo	varchar(200)	NO	NULL		
tiempos_actividad	categoria	varchar(50)	NO	NULL		
tiempos_actividad	duracion_segundos	int unsigned	NO	0		
tiempos_actividad	fecha_hora	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tipo_actividad	id_tipo_actividad	int	NO	NULL	PRI	auto_increment
tipo_actividad	nombre	varchar(50)	NO	NULL	UNI	
tipo_actividad	descripcion	text	YES	NULL		
tipo_cuidador	id_tipo_cuidador	int	NO	NULL	PRI	auto_increment
tipo_cuidador	nombre	varchar(80)	NO	NULL	UNI	
tipo_cuidador	descripcion	text	YES	NULL		
tratamiento	id	int	NO	NULL	PRI	auto_increment
